customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,clusters,RFM_Score,customer_profile
26.0,Trixi,Ginnelly,Female,12.0,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,1,12,Low Value
27.0,Garvin,Klees,Male,37.0,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,1,9,Mid-Low Value
28.0,Fee,Zellmer,Male,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,1,11,Low Value
29.0,Mona,Sancraft,Female,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,1,5,High-Mid Value
30.0,Darrick,Helleckas,Male,18.0,1961-10-18,,IT,Affluent Customer,N,Yes,6.0,1,7,High-Mid Value
31.0,Star,Praton,Female,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,1,10,Mid-Low Value
32.0,Marion,Vanichkin,Female,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,1,9,Mid-Low Value
33.0,Ernst,Hacon,Male,44.0,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,11.0,1,4,High Value
35.0,Margaretha,Strettle,Female,40.0,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,1,10,Mid-Low Value
36.0,Lurette,Stonnell,Female,33.0,1977-11-09,VP Quality Control,,Affluent Customer,N,No,22.0,1,10,Mid-Low Value
37.0,Laurie,Dwerryhouse,Female,46.0,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,2,3,High Value
38.0,Cordi,Merman,Female,37.0,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,2,10,Mid-Low Value
39.0,Hunfredo,Smalley,Male,5.0,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,2,5,High-Mid Value
40.0,Tomasine,Jerche,Female,91.0,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,2,6,High-Mid Value
41.0,Basilius,Coupe,Male,64.0,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,2,7,High-Mid Value
42.0,Chiquita,Durnall,Female,24.0,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,2,11,Low Value
43.0,Indira,Belt,Female,38.0,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,2,9,Mid-Low Value
44.0,Neron,Verick,Male,63.0,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,2,4,High Value
45.0,Trace,Woodhead,Male,64.0,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,2,11,Low Value
46.0,Kaila,Allin,Female,98.0,1972-02-26,,,Affluent Customer,N,Yes,15.0,0,8,Mid Value
47.0,Matthew,Jeaycock,Male,51.0,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,0,8,Mid Value
48.0,Rebbecca,Casone,Female,46.0,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8.0,0,8,Mid Value
49.0,Nolly,Ownsworth,Male,63.0,1994-01-26,VP Quality Control,,Affluent Customer,N,No,1.0,0,7,High-Mid Value
50.0,Whitby,Schapero,Male,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,0,7,High-Mid Value
51.0,Fidelio,Dilke,Male,68.0,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,0,6,High-Mid Value
52.0,Curran,Bentson,Male,57.0,1988-06-22,,Financial Services,Mass Customer,N,Yes,13.0,0,3,High Value
53.0,Agnella,Gocke,Female,22.0,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,0,7,High-Mid Value
54.0,Loralyn,Wonfor,Female,2.0,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,2,8,Mid Value
55.0,Linc,Jillions,Male,48.0,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,2,9,Mid-Low Value
56.0,Reese,Ensor,Male,44.0,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,2,6,High-Mid Value
57.0,Abba,Masedon,Male,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,2,6,High-Mid Value
58.0,Dalenna,Pinnock,Female,26.0,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,2,6,High-Mid Value
59.0,Niki,Heathcote,Male,60.0,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,3.0,2,6,High-Mid Value
60.0,Nadiya,Champerlen,Female,18.0,1970-02-04,,Manufacturing,Mass Customer,N,No,10.0,1,9,Mid-Low Value
61.0,Kacey,Rowbottom,Female,47.0,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,1,6,High-Mid Value
62.0,Sorcha,Roggers,Female,38.0,1979-07-06,,IT,Mass Customer,N,Yes,22.0,1,5,High-Mid Value
63.0,Ebony,Zini,Female,58.0,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,1,11,Low Value
64.0,Gerek,Yve,Male,73.0,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,1,6,High-Mid Value
65.0,Yale,Tanser,Male,21.0,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,1,7,High-Mid Value
66.0,Anselm,Gawne,Male,46.0,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,2,9,Mid-Low Value
67.0,Vernon,,Male,67.0,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,2,12,Low Value
68.0,Dahlia,Eddoes,Female,37.0,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,9.0,2,9,Mid-Low Value
69.0,Heidi,Milner,Female,16.0,1969-06-22,Web Developer II,,Mass Customer,N,No,6.0,2,5,High-Mid Value
70.0,Foster,Vannoort,Male,78.0,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,2,5,High-Mid Value
71.0,Hoyt,Glavias,Male,30.0,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,2,9,Mid-Low Value
72.0,Sammy,Cheese,Male,93.0,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,2,9,Mid-Low Value
73.0,Minette,Worters,Female,16.0,1960-05-27,Teacher,,Affluent Customer,N,Yes,5.0,2,9,Mid-Low Value
74.0,Pansy,Kiddie,Female,94.0,1969-06-19,,,Mass Customer,N,Yes,6.0,2,7,High-Mid Value
75.0,Dollie,Sealy,Female,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,2,7,High-Mid Value
76.0,Rea,Hasser,Female,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,1,5,High-Mid Value
77.0,Shermie,Andrin,Male,79.0,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,1,9,Mid-Low Value
78.0,Arch,Van der Kruis,Male,37.0,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,1,12,Low Value
79.0,Tybi,Silliman,Female,76.0,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,1,8,Mid Value
80.0,Pablo,Small,Male,11.0,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,0,5,High-Mid Value
81.0,Bee,Blazewicz,Female,58.0,1986-09-04,,Health,High Net Worth,N,No,13.0,0,6,High-Mid Value
82.0,Gleda,Cokely,Female,93.0,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,0,10,Mid-Low Value
83.0,Kerr,Simmell,Male,97.0,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,2,11,Low Value
84.0,Rich,Mathiasen,Male,78.0,1958-02-07,Accountant III,,Mass Customer,N,Yes,14.0,2,10,Mid-Low Value
85.0,Kane,Tixall,Male,1.0,1958-05-21,Analyst Programmer,,Mass Customer,N,No,8.0,2,8,Mid Value
86.0,Job,Sleney,Male,75.0,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,2,7,High-Mid Value
87.0,Fields,Langdon,Male,78.0,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,2,8,Mid Value
88.0,Malynda,Tumber,Female,41.0,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,2,10,Mid-Low Value
89.0,Benedicto,Hoxey,Male,74.0,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,1,3,High Value
90.0,Cary,Garron,Male,76.0,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,1,9,Mid-Low Value
91.0,Dylan,Meaker,Male,69.0,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,1,4,High Value
92.0,Jodee,Judkins,Female,98.0,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,1,9,Mid-Low Value
93.0,Gordon,Gowar,Male,63.0,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,0,8,Mid Value
94.0,Wallache,Simchenko,Male,33.0,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,0,4,High Value
95.0,Nomi,Mallinder,Female,67.0,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,0,9,Mid-Low Value
96.0,Heath,Olford,Male,33.0,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,0,8,Mid Value
97.0,Arne,Corain,Male,16.0,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,0,6,High-Mid Value
98.0,Allianora,Babalola,Female,19.0,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,0,10,Mid-Low Value
99.0,Reggie,Mulliner,Male,97.0,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,0,6,High-Mid Value
100.0,Tripp,Steed,Male,80.0,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,0,7,High-Mid Value
101.0,Goran,Kwietek,Male,83.0,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,0,6,High-Mid Value
102.0,Langsdon,Tranfield,Male,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,0,10,Mid-Low Value
103.0,Ethyl,Runham,Female,49.0,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,0,9,Mid-Low Value
104.0,Odille,Panketh,Female,40.0,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,0,8,Mid Value
105.0,Maribeth,Pristnor,Female,25.0,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,0,8,Mid Value
106.0,Glyn,,Male,54.0,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,0,5,High-Mid Value
107.0,Pris,Stallebrass,Female,97.0,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,1,10,Mid-Low Value
108.0,Kayle,Mingaud,Female,4.0,1994-03-14,,,High Net Worth,N,No,3.0,1,7,High-Mid Value
109.0,Cody,Blabey,Male,16.0,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4.0,1,6,High-Mid Value
110.0,Sascha,St. Quintin,Male,23.0,2000-07-31,,Financial Services,Affluent Customer,N,No,1.0,1,6,High-Mid Value
111.0,Cele,Evason,Female,65.0,1993-08-29,Analyst Programmer,,Mass Customer,N,No,2.0,1,11,Low Value
112.0,Shena,Parren,Female,88.0,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,1,5,High-Mid Value
113.0,Gage,Nickless,Male,67.0,1956-05-06,Staff Scientist,,Mass Customer,N,No,20.0,2,9,Mid-Low Value
114.0,Sunny,Swindells,Female,10.0,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,2,11,Low Value
115.0,Alberik,Mereweather,Male,77.0,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,2,8,Mid Value
116.0,Scottie,Swiffen,Male,49.0,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,2,5,High-Mid Value
117.0,Nance,Suttling,Female,75.0,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,2,4,High Value
118.0,Prentice,Pearmain,Male,43.0,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,19.0,2,9,Mid-Low Value
119.0,Willey,Chastanet,Male,9.0,1981-12-04,Associate Professor,,High Net Worth,N,Yes,9.0,2,7,High-Mid Value
120.0,Sloan,Wagg,Male,80.0,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,2,10,Mid-Low Value
121.0,Myles,Pauncefort,Male,82.0,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,2,11,Low Value
122.0,Colver,Itter,Male,87.0,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,2,5,High-Mid Value
123.0,Almeta,Kalinsky,Female,85.0,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,2,8,Mid Value
124.0,Kath,Cunney,Female,27.0,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,2,7,High-Mid Value
125.0,Darrelle,Antoniewski,Female,94.0,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,2,10,Mid-Low Value
126.0,Norman,Cliff,Male,53.0,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,2,6,High-Mid Value
127.0,Merrili,Whitear,Female,81.0,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,2,8,Mid Value
128.0,Isidro,Cypler,Male,73.0,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,2,12,Low Value
129.0,Weidar,Silkstone,Male,64.0,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,2,10,Mid-Low Value
130.0,Raddy,Delete,Male,32.0,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,2,10,Mid-Low Value
131.0,Jana,Renyard,Female,57.0,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,2,8,Mid Value
132.0,Celesta,Willavoys,Female,5.0,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,2,6,High-Mid Value
133.0,Eldridge,Fiddeman,Male,12.0,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,2,10,Mid-Low Value
134.0,Merna,McCulloch,Female,34.0,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,0,5,High-Mid Value
135.0,Rosalia,Sigart,Female,18.0,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,0,8,Mid Value
136.0,Mel,Bennet,Male,46.0,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,0,6,High-Mid Value
137.0,Vaughn,Artin,Male,27.0,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,0,9,Mid-Low Value
138.0,Onofredo,Franc,Male,5.0,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,0,10,Mid-Low Value
139.0,Gar,,Male,1.0,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,0,4,High Value
140.0,Morrie,Flaxon,Male,9.0,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,0,6,High-Mid Value
141.0,Townsend,Trobe,Male,67.0,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,0,9,Mid-Low Value
142.0,Bentley,Fortesquieu,Male,57.0,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,0,5,High-Mid Value
143.0,Kendall,Figg,Male,19.0,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,0,6,High-Mid Value
145.0,Filippo,Ferrara,Male,33.0,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,0,9,Mid-Low Value
146.0,Ricoriki,Matlock,Male,34.0,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,0,10,Mid-Low Value
147.0,Rea,Pattrick,Female,32.0,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,1,4,High Value
148.0,Jaquith,Maffey,Female,69.0,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,5.0,1,9,Mid-Low Value
149.0,Drucy,Kausche,Female,41.0,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,1,8,Mid Value
150.0,Bradly,Crosse,Male,6.0,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,1,11,Low Value
151.0,Donnie,Brimson,Male,36.0,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,1,4,High Value
152.0,Stephana,Cardew,Female,5.0,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,1,11,Low Value
153.0,Lorilyn,Walshe,Female,73.0,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,1,6,High-Mid Value
154.0,Faydra,Dulieu,Female,90.0,1958-02-13,Junior Executive,,Mass Customer,N,No,11.0,1,8,Mid Value
155.0,Orran,Bogges,Male,4.0,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,1,8,Mid Value
156.0,Shayla,Rimmington,Female,23.0,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,1,9,Mid-Low Value
157.0,Chad,Houtby,Male,97.0,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,0,10,Mid-Low Value
158.0,Hamlin,Odams,Male,99.0,1984-09-03,Internal Auditor,,Affluent Customer,N,No,5.0,0,8,Mid Value
159.0,Arin,Matskevich,Male,90.0,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,0,8,Mid Value
160.0,Wake,Durning,Male,5.0,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,0,9,Mid-Low Value
161.0,Tadd,Bloss,Male,49.0,1976-01-21,,,Mass Customer,N,No,16.0,0,12,Low Value
162.0,Port,Acuna,Male,90.0,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,0,11,Low Value
163.0,Kessia,Helder,Female,58.0,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,0,9,Mid-Low Value
164.0,Aarika,Van Vuuren,Female,55.0,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,0,10,Mid-Low Value
165.0,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,2,3,High Value
166.0,Elston,Oleszczak,Male,54.0,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,2,8,Mid Value
167.0,Nathalie,Tideswell,Female,95.0,1969-10-27,,Health,High Net Worth,N,Yes,17.0,2,6,High-Mid Value
169.0,Alfy,Bruhnke,Male,20.0,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,2,8,Mid Value
170.0,Jammal,Gever,Male,80.0,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,2,10,Mid-Low Value
171.0,Halli,Davidoff,Female,62.0,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,2,4,High Value
172.0,Hilton,Carney,Male,54.0,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,0,8,Mid Value
173.0,Ebba,Hanselmann,Female,99.0,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,0,5,High-Mid Value
174.0,Catie,Tosspell,Female,93.0,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,0,3,High Value
175.0,Templeton,Hambrook,Male,36.0,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,0,8,Mid Value
176.0,Angelo,Clayal,Male,39.0,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,0,8,Mid Value
177.0,Ondrea,Pablos,Female,25.0,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,0,8,Mid Value
178.0,Matthieu,Bertelmot,Male,2.0,1967-04-03,,,Affluent Customer,N,No,8.0,0,7,High-Mid Value
179.0,Esteban,Sewill,Male,23.0,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,0,10,Mid-Low Value
180.0,Trisha,Neasham,Female,16.0,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,0,4,High Value
181.0,Pavla,Braunle,Female,49.0,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,0,10,Mid-Low Value
182.0,Lydon,Dahlman,Male,99.0,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,0,5,High-Mid Value
183.0,Dannie,Hissie,Female,7.0,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,0,10,Mid-Low Value
184.0,Nappie,Paolo,Male,40.0,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,0,10,Mid-Low Value
185.0,Crosby,Walcot,Male,80.0,1979-12-13,,Property,Mass Customer,N,Yes,13.0,0,4,High Value
186.0,Mireielle,Jeppe,Female,46.0,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,0,9,Mid-Low Value
187.0,Pincas,Ather,Male,97.0,1954-01-28,Structural Engineer,,Mass Customer,N,No,11.0,0,6,High-Mid Value
188.0,Audry,Seine,Female,54.0,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0,0,6,High-Mid Value
189.0,Umberto,Torricella,Male,73.0,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0,0,6,High-Mid Value
190.0,Hayley,Girardengo,Female,42.0,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0,0,10,Mid-Low Value
191.0,Christopher,Heining,Male,22.0,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,6.0,0,11,Low Value
192.0,Goldi,Osler,Female,2.0,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0,0,11,Low Value
193.0,Foss,Hardes,Male,13.0,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0,0,9,Mid-Low Value
194.0,Ursala,Ferrai,Female,4.0,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0,0,10,Mid-Low Value
195.0,Talyah,Rylatt,Female,34.0,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,0,5,High-Mid Value
196.0,Swen,Odhams,Male,90.0,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0,0,7,High-Mid Value
197.0,Avis,,Female,32.0,1977-01-27,,,High Net Worth,N,No,5.0,0,5,High-Mid Value
198.0,Vanya,Gumb,Female,82.0,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0,1,8,Mid Value
199.0,Verla,Alven,Female,61.0,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0,1,8,Mid Value
200.0,Hube,Weald,Male,7.0,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,1,4,High Value
201.0,Salem,Huie,Male,45.0,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,1,5,High-Mid Value
202.0,Audie,Pillinger,Female,38.0,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0,1,9,Mid-Low Value
203.0,Donovan,Conry,Male,71.0,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0,1,6,High-Mid Value
204.0,Thorny,Hackworth,Male,56.0,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5.0,2,4,High Value
205.0,Rolfe,Kellard,Male,18.0,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0,2,10,Mid-Low Value
206.0,Mari,Chevolleau,Female,98.0,1954-07-19,Statistician I,,Mass Customer,N,Yes,14.0,2,7,High-Mid Value
207.0,Adena,Whyman,Female,9.0,1994-08-10,,,Mass Customer,N,No,7.0,2,10,Mid-Low Value
208.0,Rutter,Excell,Male,57.0,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0,2,8,Mid Value
209.0,Udall,Bellard,Male,9.0,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,6.0,2,8,Mid Value
210.0,Albrecht,Thomasson,Male,50.0,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0,1,7,High-Mid Value
211.0,Beitris,,Female,6.0,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0,1,9,Mid-Low Value
